Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,82.13185003,37.73422216,58.5385582,82.55344031,118.1545959,379.1126666
1/01/1971,82.13195391,37.73422216,58.53856416,82.55344031,122.9137665,383.871947
1/01/1972,87.6277832,39.52028918,62.19914935,87.59384901,139.4854326,416.4265033
1/01/1973,97.03451081,40.3007395,65.49837567,96.78541498,170.6118248,470.2308658
1/01/1974,106.4332077,41.78754951,65.07174358,99.72354892,178.4302121,491.4462618
1/01/1975,120.3814009,43.86314386,69.77171031,105.2873307,146.5489218,485.8525076
1/01/1976,132.1149535,46.72552447,71.53634334,116.2756343,163.7382528,530.3907084
1/01/1977,135.7027929,46.33471219,75.65444321,120.0289661,154.1426912,531.8636056
1/01/1978,114.7809838,48.41485052,81.34357565,122.405511,155.7127141,522.6576351
1/01/1979,125.7020093,48.26946915,78.64979641,132.2228198,183.1439306,567.9880253
1/01/1980,137.4439282,48.34544349,84.84058837,141.5810201,172.7185686,584.9295488
1/01/1981,152.5044351,48.70229403,89.02038068,147.2517253,142.953603,580.4324381
1/01/1982,163.4337199,49.39180239,90.50868973,142.8096829,142.9163657,589.0602606
1/01/1983,170.8765159,51.75806694,92.37078893,137.2484744,151.7622023,604.0160485
1/01/1984,181.7066551,55.93935766,94.22529857,135.4052223,166.585228,633.8617616
1/01/1985,185.5793386,54.06467614,98.7667165,141.0057308,179.2071425,658.6236045
1/01/1986,192.0776061,52.73984294,98.92082879,140.9725266,183.358376,668.0691804
1/01/1987,209.9658381,53.42622272,100.8542572,148.2681626,175.0497839,687.5642645
1/01/1988,208.5574483,54.04889916,107.2706895,153.5172308,185.4639772,708.858245
1/01/1989,213.0779912,57.61661941,110.0294317,154.3512759,184.3506491,719.4259673
1/01/1990,241.5616123,55.57066961,113.8949545,152.8414457,186.7493316,750.6180137
1/01/1991,242.3518972,57.46679568,118.544686,146.3180343,187.515788,752.1972012
1/01/1992,242.189238,57.08183029,123.582629,141.8001081,195.6361739,760.2899793
1/01/1993,249.3856756,61.45542666,122.5616726,134.1373361,188.8504137,756.3905247
1/01/1994,255.4449258,61.9966793,124.2257118,125.6416076,200.2157697,767.5246942
1/01/1995,265.5717391,63.02923833,133.0335449,128.6151867,219.2222344,809.4719434
1/01/1996,273.3479911,63.77240872,138.8680222,137.4569739,240.3214943,853.7668902
1/01/1997,287.5994732,65.64577755,148.3759661,144.1555217,229.2317932,875.0085318
1/01/1998,303.5282344,66.65036974,148.5645474,141.0251786,221.7435094,881.5118395
1/01/1999,297.8269824,66.58862015,156.8865416,137.0977477,223.9574885,882.3573804
1/01/2000,303.0053833,66.22751759,161.3310623,139.1507606,233.0661874,902.7809112
1/01/2001,299.313428,71.26384409,169.1378466,193.3722818,205.5674777,938.6548782
1/01/2002,311.3762211,73.947226,177.5318669,194.8423186,194.748367,952.4459996
1/01/2003,335.9249043,76.1341271,187.8192377,193.8524431,208.9888706,1002.719583
1/01/2004,366.4730191,81.09316572,195.2495877,200.2038753,209.613926,1052.633574
1/01/2005,372.8150281,88.95133275,200.0449435,209.2444422,225.8901862,1096.945933
1/01/2006,381.1969648,93.34116308,204.4589522,206.3037314,228.2419584,1113.54277
1/01/2007,391.7000333,103.4702859,214.6433832,215.1221237,222.3779379,1147.313764
1/01/2008,426.527934,108.9281991,229.7247367,216.9339713,218.013809,1200.12865
1/01/2009,410.4852852,110.8949546,238.5934538,206.5482948,209.6056458,1176.127634
1/01/2010,432.8355305,98.66953354,258.5028685,220.499375,218.3359143,1228.843222
1/01/2011,427.1884165,103.5123812,263.888174,219.5433488,208.4467573,1222.579078
1/01/2012,451.5305458,118.4358222,282.1029052,220.3571065,216.5695689,1288.995949
1/01/2013,461.7204151,119.1851843,296.0085588,224.9277799,214.2502222,1316.09216
1/01/2014,488.4047214,119.075926,301.4974074,228.6275133,216.1834323,1353.789
1/01/2015,494.9199127,116.7008685,314.5509801,226.7818277,223.7239721,1376.677561
1/01/2016,497.4466421,116.4297305,328.658465,228.177458,239.9730349,1410.685331
1/01/2017,500.9740606,118.1443468,335.7966413,229.4146669,251.0014593,1435.331175
1/01/2018,515.7844412,121.0082066,337.15763,236.2704688,249.5891639,1459.809911
