Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,1087.841453,758.6508773,406.1099618,1234.234325,724.7288782,4211.565495
1/01/1971,1066.462437,767.4541927,413.4525281,1239.451562,767.4843462,4254.305066
1/01/1972,1133.049824,811.2617993,437.6847444,1315.473435,824.1114735,4521.581276
1/01/1973,1257.01006,859.896992,468.6970366,1400.411965,891.9802616,4877.996315
1/01/1974,1307.009665,875.4021504,491.5926158,1450.544946,901.5936526,5026.14303
1/01/1975,1386.018207,950.0614707,550.8461109,1538.005023,874.770857,5299.701669
1/01/1976,1456.355826,971.4660914,572.1522777,1622.946832,945.3879404,5568.308968
1/01/1977,1536.115773,1035.784293,606.3865001,1724.093962,963.2308546,5865.611383
1/01/1978,1631.789553,1099.708152,640.8524378,1869.137441,1051.701543,6293.189127
1/01/1979,1703.743586,1136.669232,672.7990606,1929.486984,1020.696156,6463.395019
1/01/1980,1751.944079,1142.258789,681.3049907,1944.365509,999.8445403,6519.717908
1/01/1981,1752.806233,1181.11328,696.4865147,1906.936525,935.7855643,6473.128117
1/01/1982,1799.48834,1192.045645,709.9830149,1971.649302,939.279699,6612.446001
1/01/1983,1889.007137,1239.481522,751.7231456,1990.579999,944.6945499,6815.486354
1/01/1984,2005.561782,1310.299537,780.7464944,2062.677044,948.8163681,7108.101226
1/01/1985,2082.945574,1343.814811,803.0846323,2030.375976,952.5264707,7212.747464
1/01/1986,2210.010848,1364.906082,833.5345043,2076.378661,973.2416386,7458.071734
1/01/1987,2345.251816,1407.258011,880.0250313,2168.796364,992.4082154,7793.739438
1/01/1988,2473.524276,1486.472125,920.9914961,2275.974396,1061.722308,8218.684601
1/01/1989,2593.616277,1492.220386,972.0605014,2333.580621,1079.803061,8471.280846
1/01/1990,3094.931816,1499.060348,1082.72861,2266.240172,984.5110685,8927.472015
1/01/1991,3240.77118,1490.251271,1114.248348,2297.649417,1029.884286,9172.804502
1/01/1992,3353.733991,1367.984019,1142.27902,2301.708958,1032.695559,9198.401547
1/01/1993,3414.301041,1403.651136,1152.385919,2334.854828,1032.948848,9338.141772
1/01/1994,3517.720426,1350.130316,1143.823265,2370.124405,1124.500072,9506.298484
1/01/1995,3595.192092,1363.933806,1184.452228,2651.669652,1155.557585,9950.805363
1/01/1996,3838.943131,1255.290265,1272.688703,2524.249036,1156.971532,10048.14267
1/01/1997,3829.692466,1337.164932,1249.127209,2547.630597,1200.088497,10163.7037
1/01/1998,3886.361063,1245.774975,1260.154839,2602.178333,1147.352002,10141.82121
1/01/1999,4020.305687,1319.399756,1308.300508,2501.000002,1204.773574,10353.77953
1/01/2000,4316.997375,1254.811679,1416.678571,2581.016601,1288.141868,10857.64609
1/01/2001,4464.803106,1266.739561,1454.631571,2637.640545,1315.628182,11139.44297
1/01/2002,4718.12331,1277.891745,1511.62057,2727.318796,1386.668031,11621.62245
1/01/2003,5134.061933,1328.420751,1574.100207,2930.919981,1541.898392,12509.40126
1/01/2004,5454.143075,1404.235712,1683.199138,3341.541416,1651.05468,13534.17402
1/01/2005,5861.234082,1438.952707,1726.584589,3676.901221,1738.211482,14441.88408
1/01/2006,6340.406307,1471.999208,1785.628948,3944.776572,1913.197226,15456.00826
1/01/2007,6712.212008,1508.736331,1881.661356,4332.066711,2036.568252,16471.24466
1/01/2008,6757.463849,1513.961928,1965.814064,4512.141148,2069.347667,16818.72866
1/01/2009,6935.618368,1526.294027,2008.304979,4689.315768,2221.247942,17380.78108
1/01/2010,7566.385986,1538.480947,2116.684301,5073.620349,2331.382056,18626.55364
1/01/2011,8246.115252,1570.992946,2218.714787,5353.956287,2520.990711,19910.76998
1/01/2012,8522.897985,1585.588811,2341.229472,5340.64506,2703.660505,20494.02183
1/01/2013,8775.201357,1600.18405,2450.019592,5456.748015,2778.053829,21060.20684
1/01/2014,8916.011256,1639.472416,2513.401985,5501.599128,2919.491195,21489.97598
1/01/2015,8929.631357,1670.49596,2622.037331,5447.411718,2937.306164,21606.88253
1/01/2016,9075.050962,1713.399506,2682.626387,5295.075504,3272.452902,22038.60526
1/01/2017,9212.887221,1767.423813,2745.756514,5395.826508,3304.254693,22426.14875
1/01/2018,9484.08531,1844.411632,2820.166999,5593.184478,3280.763165,23022.61158
