Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,1821.292388,1349.378568,645.3988544,1808.784874,825.701294,6450.555979
1/01/1971,1643.25945,1217.789916,593.1269695,1563.735124,763.1946884,5781.106147
1/01/1972,1740.480941,1279.247701,625.7595234,1605.145389,796.2484695,6046.882024
1/01/1973,1882.938923,1339.289695,661.5264581,1688.995832,816.798587,6389.549494
1/01/1974,1975.941139,1282.351137,661.2919131,1729.421084,802.5611087,6451.566382
1/01/1975,1981.536052,1316.946271,717.800712,1701.54085,784.4103039,6502.23419
1/01/1976,2184.33472,1362.808153,743.8297238,1777.14129,813.188417,6881.302304
1/01/1977,2175.75777,1358.149706,763.4661659,1812.951754,816.3097377,6926.635134
1/01/1978,2274.374029,1405.575817,790.3958589,1862.332006,935.3562242,7268.033935
1/01/1979,2349.122619,1447.209749,808.1295587,1921.772286,933.168635,7459.402848
1/01/1980,2399.978744,1425.22998,808.9011445,1911.446479,919.3671693,7464.923517
1/01/1981,2342.692834,1372.531416,806.5102387,1824.563446,895.8125755,7242.11051
1/01/1982,2399.498939,1345.198375,813.4145448,1749.367142,872.6621759,7180.141176
1/01/1983,2445.162854,1328.111184,822.7679333,1725.873357,880.8562075,7202.771535
1/01/1984,2470.239255,1346.481071,839.2922862,1733.646008,870.977754,7260.636374
1/01/1985,2498.350601,1407.346423,849.0560667,1713.940077,845.0191812,7313.712349
1/01/1986,2574.615877,1425.35269,889.4172879,1690.900107,842.7942334,7423.080195
1/01/1987,2643.48695,1446.746737,918.8438524,1724.747264,840.9998266,7574.82463
1/01/1988,2632.823467,1404.477316,955.4321143,1753.949922,880.0164761,7626.699295
1/01/1989,2696.797347,1329.254528,986.6211559,1756.665661,878.3122696,7647.650962
1/01/1990,3119.825065,1287.437967,1089.874895,1532.068893,706.1997471,7735.406567
1/01/1991,3098.938607,1283.584416,1104.796609,1420.953051,664.5307672,7572.80345
1/01/1992,2981.142925,1120.450191,1080.564999,1327.109386,628.0182551,7137.285755
1/01/1993,2776.565058,1143.438982,1035.435891,1208.403028,567.8140947,6731.657053
1/01/1994,2645.483287,1025.250343,999.760157,1132.662801,532.987039,6336.143627
1/01/1995,2556.49053,1023.362486,997.0078515,1197.711146,554.8124601,6329.384473
1/01/1996,2568.947167,1057.786353,1013.424281,1159.541503,519.6805982,6319.379901
1/01/1997,2444.233776,995.4761345,1013.385753,1142.431991,525.5907158,6121.11837
1/01/1998,2433.916047,953.4300251,1067.234129,1109.816286,532.3351483,6096.731634
1/01/1999,2404.446182,955.0254411,1077.955689,1070.518127,543.1720752,6051.117515
1/01/2000,2445.043313,928.1632648,1073.119967,1114.151946,561.6740503,6122.152542
1/01/2001,2460.350823,956.7541193,1094.19039,1092.915909,553.2255069,6157.436748
1/01/2002,2492.49118,917.2494978,1110.936055,1093.844503,541.1134808,6155.634717
1/01/2003,2585.814025,953.3460575,1134.750907,1126.923539,555.0146135,6355.849142
1/01/2004,2547.011746,945.777949,1174.837943,1128.415686,582.635319,6378.678643
1/01/2005,2561.724728,945.2753383,1176.041959,1089.949877,576.8529559,6349.844858
1/01/2006,2650.534375,951.8584979,1204.610264,1080.694274,588.0906036,6475.788015
1/01/2007,2640.575535,877.7732026,1233.304733,1130.642614,598.1921773,6480.488261
1/01/2008,2567.230254,950.0183677,1232.485651,1117.857769,566.7105826,6434.302624
1/01/2009,2373.562579,896.803179,1180.214045,980.9865695,510.8751857,5942.441559
1/01/2010,2484.045465,930.9412779,1191.634743,1056.296532,552.4116487,6215.329666
1/01/2011,2558.622525,865.0305707,1185.82472,1063.329746,565.6296205,6238.437182
1/01/2012,2532.844139,862.3624956,1147.794542,1023.358424,626.3231767,6192.682777
1/01/2013,2426.63739,854.4282268,1150.274004,1016.894081,609.5169388,6057.75064
1/01/2014,2295.193497,791.6623997,1160.466359,991.8460581,618.175215,5857.343528
1/01/2015,2251.012582,813.9369518,1182.420102,998.8586724,626.9223804,5873.150689
1/01/2016,2224.686746,832.0070761,1211.497703,998.0869359,661.1695654,5927.448027
1/01/2017,2218.68491,856.0169316,1232.00634,1012.050706,675.1117363,5993.870624
1/01/2018,2239.354441,856.4233982,1231.469731,1032.196291,675.9152666,6035.359128
