Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,1151.552903,1002.635016,1162.903337,1562.856926,350.0270627,5229.975245
1/01/1971,1199.23748,1014.825869,1212.876165,1347.743681,334.5409354,5109.22413
1/01/1972,1326.029388,1037.610864,1290.431125,1393.459202,343.8897261,5391.420306
1/01/1973,1404.637821,993.4348673,1354.814316,1492.477399,368.8673044,5614.231707
1/01/1974,1388.843449,963.705706,1334.293389,1427.781835,356.0780435,5470.702422
1/01/1975,1396.70774,950.8091497,1354.784015,1229.762494,323.7670676,5255.830466
1/01/1976,1508.875242,1005.941808,1416.712691,1284.38756,359.1790573,5575.096359
1/01/1977,1620.763033,968.6741581,1460.793086,1359.340047,357.0512515,5766.621576
1/01/1978,1605.098358,965.591384,1517.30135,1330.578451,371.413611,5789.983154
1/01/1979,1645.116541,924.2091128,1507.270336,1398.35584,381.4209456,5856.372777
1/01/1980,1695.547103,824.5858498,1454.672529,1321.729551,360.7114534,5657.246486
1/01/1981,1714.530954,775.8404613,1456.179023,1282.911473,355.8818816,5585.343793
1/01/1982,1648.578475,775.215402,1430.191714,1154.136891,327.878297,5336.000779
1/01/1983,1697.480229,755.6244847,1436.124072,1082.087666,327.9574112,5299.273863
1/01/1984,1767.987747,778.7048846,1481.538714,1159.57472,348.2110421,5536.017107
1/01/1985,1807.841308,763.2425735,1494.991502,1155.012043,345.8231499,5566.910575
1/01/1986,1788.261274,743.2604493,1517.196215,1128.22513,336.6238776,5513.566946
1/01/1987,1875.027983,747.1317355,1569.426795,1167.056882,341.4344541,5700.077849
1/01/1988,1968.376129,789.7849564,1641.0676,1200.006286,354.8252742,5954.060245
1/01/1989,2077.872068,795.747554,1663.077616,1159.321294,349.802355,6045.820886
1/01/1990,2087.937137,731.316041,1654.614286,1089.504077,341.6911307,5905.062671
1/01/1991,2129.054182,737.183953,1628.514393,1037.072459,336.2906452,5868.115632
1/01/1992,2228.50356,733.9708939,1664.515123,992.3764043,345.9383467,5965.304327
1/01/1993,2279.933539,755.8784284,1692.509551,1009.98891,351.4347268,6089.745155
1/01/1994,2328.000938,749.2502432,1758.241535,1018.958141,368.1176145,6222.568472
1/01/1995,2388.926474,754.5952318,1786.969396,971.9714884,370.3689606,6272.83155
1/01/1996,2465.673662,798.8688914,1833.11033,991.8283681,364.8067695,6454.288021
1/01/1997,2625.783309,782.351955,1868.623805,1019.815711,374.6372644,6671.212044
1/01/1998,2685.670504,717.1325079,1914.759109,1034.091036,371.2701398,6722.923296
1/01/1999,2666.016318,736.9731022,1968.764679,1005.439552,368.4434876,6745.637138
1/01/2000,2755.168281,782.0646322,2003.810186,1089.550161,367.9533786,6998.546638
1/01/2001,2771.328895,762.3508569,2006.768418,1050.506215,343.4416642,6934.396049
1/01/2002,2696.247094,768.6999695,2033.762601,1040.698274,333.4121114,6872.820049
1/01/2003,2743.239417,790.3047159,2068.618124,1049.11158,338.3748133,6989.64865
1/01/2004,2767.565896,783.4623613,2103.401991,1078.084817,346.1177905,7078.632856
1/01/2005,2832.447011,769.9016186,2131.248553,1050.762162,340.0847336,7124.444078
1/01/2006,2754.259928,714.5475606,2138.211233,1088.596796,343.1614216,7038.776939
1/01/2007,2834.885074,745.3416931,2156.235315,1088.943879,336.7427563,7162.148717
1/01/2008,2749.609877,748.1362652,2062.987904,1065.946922,324.2817428,6950.962711
1/01/2009,2522.970594,734.2014883,1971.555196,968.7616157,291.766348,6489.255241
1/01/2010,2648.87812,729.0979009,2032.946622,1049.728673,309.0566668,6769.707983
1/01/2011,2556.926215,719.5449602,2013.579311,1061.333938,308.4251594,6659.809583
1/01/2012,2429.811397,671.0710158,2056.269314,1024.643855,316.1610714,6497.956654
1/01/2013,2433.252663,734.4440873,2055.225409,1038.54891,317.2632223,6578.734292
1/01/2014,2428.531256,760.1520596,2089.261123,1038.96313,331.1658681,6648.073437
1/01/2015,2294.794708,717.3918439,2123.671,1015.852265,337.4259417,6489.135758
1/01/2016,2204.276417,693.4450759,2142.146748,1025.807487,366.9879663,6432.663694
1/01/2017,2172.884771,690.6375576,2153.526112,1026.389366,375.5457403,6418.983547
1/01/2018,2165.195273,739.504154,2192.331288,1073.356556,388.4838606,6558.871132
