Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,54.33298156,15.23696774,38.78405094,51.06552974,20.0438385,179.4633685
1/01/1971,53.50647542,15.37629804,39.84228616,52.15933854,19.70192011,180.5863183
1/01/1972,59.59603932,15.56930109,41.51036574,51.24170458,20.72819418,188.6456049
1/01/1973,61.70569833,17.87126535,45.2358659,53.68857752,21.22215538,199.7235625
1/01/1974,67.95477244,16.0400725,46.88303079,64.15936331,15.50494156,210.5421806
1/01/1975,71.34724248,16.46776394,48.92206851,63.71266575,15.34418226,215.7939229
1/01/1976,75.17336906,16.27421016,50.1223414,62.82958681,15.69094345,220.0904509
1/01/1977,85.27377031,16.39143766,53.04521039,64.93401218,14.90009927,234.5445298
1/01/1978,80.30252765,16.0757945,55.58085396,62.16151166,16.93544002,231.0561278
1/01/1979,82.04007945,16.19833473,56.83603966,63.88496369,16.50805091,235.4674684
1/01/1980,91.93241135,15.67318687,57.99295727,62.82242475,17.31287385,245.7338541
1/01/1981,96.08200404,14.75881447,59.14777129,59.28262516,17.63444072,246.9056557
1/01/1982,103.4480543,15.24455793,60.17216061,58.1550406,17.64183234,254.6616457
1/01/1983,98.95967415,14.75474233,59.62811336,51.91538699,17.99068135,243.2485982
1/01/1984,101.5741559,14.76755243,62.33475244,53.24986594,17.49778402,249.4241108
1/01/1985,110.063161,14.72236625,63.96378969,55.81653582,19.9664951,264.5323479
1/01/1986,108.844298,14.5479717,65.52903175,55.88809728,19.08322771,263.8926265
1/01/1987,116.3696507,14.73476749,66.91831117,58.53815447,19.79815709,276.359041
1/01/1988,121.6512378,14.2584061,69.55535866,61.10872415,19.69178495,286.2655116
1/01/1989,130.8725417,15.03188865,71.84651668,62.54926894,21.82248195,302.1226979
1/01/1990,133.9775948,16.57245976,72.5690342,64.17406958,20.01581699,307.3089753
1/01/1991,136.6006036,16.31076569,71.06690552,64.64865817,20.9989421,309.6258751
1/01/1992,140.435393,16.69419542,72.98701292,64.1305397,20.26118046,314.5083215
1/01/1993,140.5798273,16.82059559,74.53516043,65.9245575,20.58910329,318.4492441
1/01/1994,141.5605855,17.40973698,76.85394803,68.29151884,20.33314464,324.448934
1/01/1995,147.190119,17.683808,80.20570821,69.28033006,20.50814164,334.8681069
1/01/1996,154.9243365,17.78652836,82.90205604,70.28489308,20.96466058,346.8624746
1/01/1997,161.4670565,18.47889744,84.27939256,71.48667986,22.88369316,358.5957196
1/01/1998,180.160027,18.62099577,84.39390886,72.65265488,23.63513883,379.4627253
1/01/1999,184.7231754,18.81940247,85.98420244,72.85946146,23.4857856,385.8720274
1/01/2000,187.4873018,18.29746951,89.09713405,74.26265577,23.94272764,393.0872888
1/01/2001,197.542824,18.71265949,88.63421454,73.5350636,23.74103966,402.1658013
1/01/2002,213.2294555,19.77468981,90.51297294,62.51383491,24.09626608,410.1272192
1/01/2003,199.5091523,21.29611876,91.65453316,80.23411721,23.27622262,415.9701441
1/01/2004,208.5828842,21.2101163,94.88610334,81.82164952,23.87932913,430.3800825
1/01/2005,215.8057187,21.82897734,95.28071821,80.62887696,23.51943769,437.0637289
1/01/2006,218.9161524,21.6393521,97.37060415,80.85274442,24.69898968,443.4778427
1/01/2007,223.6638026,21.84227568,99.34530841,82.11724048,25.09870381,452.067331
1/01/2008,223.934862,21.73995751,101.5272902,82.61299936,26.03109674,455.8462058
1/01/2009,232.3019333,22.14556385,101.4691302,77.12418539,24.93063587,457.9714486
1/01/2010,220.0346112,22.38565148,104.4123048,79.25024515,27.77753597,453.8603486
1/01/2011,211.5766553,22.89787486,108.3458545,81.89727561,27.3231662,452.0408265
1/01/2012,212.0132481,23.33543576,112.3648993,81.42496555,26.67622779,455.8147765
1/01/2013,200.255791,23.31102585,113.2703532,86.84859778,26.63501466,450.3207824
1/01/2014,190.2512346,24.00474894,109.7218955,87.18824648,27.11920481,438.2853303
1/01/2015,197.9696248,24.78517653,112.2982427,83.17913936,26.15088681,444.3830702
1/01/2016,201.1585074,25.39276098,113.9507829,89.56009462,27.23476415,457.29691
1/01/2017,196.0603202,25.65612523,116.798462,89.49637981,27.74030825,455.7515955
1/01/2018,193.3114749,26.03431966,120.9393725,90.00618253,28.44144696,458.7327966
